term,estimate,std.error,statistic,p.value
(Intercept),-7.9562,0.7742,-10.2765,0
Customer_Age,0.0201,0.0098,2.0499,0.0404
GenderM,0.5911,0.1695,3.4885,5e-04
Education_LevelDoctorate,-0.6088,0.324,-1.8788,0.0603
Marital_StatusMarried,0.4545,0.1575,2.8864,0.0039
`Income_Category$40K - $60K`,0.3879,0.1999,1.9406,0.0523
Total_Relationship_Count,0.3652,0.053,6.8848,0
Months_Inactive_12_mon,-0.6076,0.0894,-6.7966,0
Contacts_Count_12_mon,-0.4868,0.0761,-6.3971,0
Total_Revolving_Bal,7e-04,1e-04,5.5821,0
Total_Amt_Chng_Q4_Q1,0.6913,0.3736,1.8503,0.0643
Total_Trans_Amt,-6e-04,0,-11.5472,0
Total_Trans_Ct,0.1289,0.008,16.0779,0
Total_Ct_Chng_Q4_Q1,2.0349,0.3832,5.3097,0
Avg_Utilization_Ratio,1.3507,0.4206,3.2115,0.0013
