"","Attrited Customer","Existing Customer"
"2",0.08,0.92
"8",0.28,0.72
"18",0.02,0.98
"21",0.08,0.92
"22",0,1
"24",0.66,0.34
"25",0.08,0.92
"28",0,1
"29",0.02,0.98
"32",0.58,0.42
"36",0,1
"40",0.18,0.82
"41",0,1
"46",0.64,0.36
"49",0.06,0.94
"53",0.08,0.92
"57",0.04,0.96
"63",0,1
"64",0.38,0.62
"66",0.08,0.92
"67",0.1,0.9
"80",0.04,0.96
"88",0.18,0.82
"94",0.04,0.96
"108",0.38,0.62
"112",0.18,0.82
"114",0.26,0.74
"116",0,1
"119",0.04,0.96
"124",0,1
"125",0,1
"127",0.34,0.66
"139",0,1
"144",0,1
"151",0,1
"154",0.28,0.72
"155",0.46,0.54
"156",0,1
"158",0.06,0.94
"170",0.28,0.72
"171",0.02,0.98
"174",0,1
"178",0.7,0.3
"181",0.84,0.16
"182",0.76,0.24
"183",0.02,0.98
"184",0.5,0.5
"187",0.26,0.74
"200",0.02,0.98
"202",0.08,0.92
"205",0.3,0.7
"206",0.78,0.22
"208",0,1
"209",0.02,0.98
"213",0.5,0.5
"218",0,1
"221",0,1
"224",0,1
"229",0.04,0.96
"233",0.04,0.96
"236",0.74,0.26
"246",0,1
"255",0.04,0.96
"258",0.06,0.94
"270",0.3,0.7
"273",0.06,0.94
"274",0.1,0.9
"275",0.3,0.7
"277",0.12,0.88
"281",0.02,0.98
"284",0.28,0.72
"285",0.04,0.96
"287",0.02,0.98
"289",0.02,0.98
"290",0,1
"291",0.12,0.88
"293",0,1
"295",0,1
"298",0.04,0.96
"299",0,1
"300",0.1,0.9
"301",0,1
"302",0,1
"303",0.02,0.98
"305",0.02,0.98
"310",0.04,0.96
"313",0.5,0.5
"316",0.06,0.94
"321",0.52,0.48
"329",0.44,0.56
"335",0.02,0.98
"338",0.04,0.96
"339",0.72,0.28
"340",0.82,0.18
"342",0.18,0.82
"344",0.98,0.02
"345",0.46,0.54
"346",0.94,0.06
"353",0,1
"354",0,1
"355",0.74,0.26
"367",0.08,0.92
"368",0.02,0.98
"372",0,1
"379",0.02,0.98
"380",0.02,0.98
"381",0,1
"382",0.06,0.94
"384",0.1,0.9
"388",0,1
"389",0.02,0.98
"400",0,1
"401",0.18,0.82
"404",0.12,0.88
"414",0.12,0.88
"416",0.12,0.88
"420",0.02,0.98
"421",0.04,0.96
"422",0.02,0.98
"423",0.22,0.78
"425",0.24,0.76
"428",0.08,0.92
"434",0.02,0.98
"436",0.72,0.28
"439",0,1
"445",0.4,0.6
"446",0.2,0.8
"452",0.74,0.26
"458",0.02,0.98
"466",0.02,0.98
"469",0,1
"475",0.76,0.24
"476",0.22,0.78
"479",0.14,0.86
"484",0.14,0.86
"488",0,1
"489",0.22,0.78
"491",0.06,0.94
"492",0.06,0.94
"495",0.02,0.98
"496",0.04,0.96
"498",0.06,0.94
"502",0.58,0.42
"505",0,1
"506",0.24,0.76
"507",0.1,0.9
"511",0.52,0.48
"515",0.02,0.98
"519",0.48,0.52
"524",0.16,0.84
"525",0,1
"526",0,1
"544",0.02,0.98
"545",0.02,0.98
"547",0.1,0.9
"551",0.02,0.98
"552",0,1
"559",0,1
"561",0.04,0.96
"562",0.06,0.94
"564",0.04,0.96
"565",0.24,0.76
"567",0,1
"569",0.02,0.98
"570",0,1
"573",0.9,0.1
"580",0.02,0.98
"586",0.16,0.84
"587",0.06,0.94
"588",0.22,0.78
"590",0,1
"592",0.3,0.7
"596",0.02,0.98
"598",0,1
"600",0,1
"601",0.12,0.88
"607",0.02,0.98
"610",0.02,0.98
"616",0,1
"620",0.12,0.88
"623",0,1
"626",0.66,0.34
"627",0.1,0.9
"629",0,1
"637",0.02,0.98
"647",0.02,0.98
"649",0.46,0.54
"651",0,1
"652",0.1,0.9
"657",0.76,0.24
"658",0,1
"661",0,1
"663",0.04,0.96
"667",0.02,0.98
"670",0.06,0.94
"671",0.1,0.9
"672",0,1
"674",0.04,0.96
"677",0,1
"678",0.02,0.98
"680",0.1,0.9
"684",0.22,0.78
"685",0.16,0.84
"686",0.04,0.96
"687",0,1
"690",0.96,0.04
"692",0,1
"693",0.02,0.98
"696",0.12,0.88
"697",0,1
"700",0,1
"701",0.02,0.98
"703",0.06,0.94
"710",0,1
"712",0.02,0.98
"716",0.06,0.94
"722",0.02,0.98
"725",0.18,0.82
"732",0.06,0.94
"733",0.06,0.94
"736",0.04,0.96
"749",0.08,0.92
"752",0.08,0.92
"753",0.02,0.98
"759",0.28,0.72
"764",0.36,0.64
"775",0.62,0.38
"779",0.02,0.98
"781",0,1
"788",0,1
"792",0.32,0.68
"793",0.06,0.94
"794",0,1
"798",0,1
"799",0.02,0.98
"801",0.06,0.94
"816",0.02,0.98
"823",0.02,0.98
"827",0.32,0.68
"830",0.12,0.88
"831",0.68,0.32
"837",0.32,0.68
"839",0,1
"844",0.02,0.98
"848",0.04,0.96
"849",0.42,0.58
"853",0.12,0.88
"856",0.2,0.8
"857",0.08,0.92
"858",0.6,0.4
"867",0.04,0.96
"869",0,1
"871",0,1
"872",0.32,0.68
"873",0.02,0.98
"874",0.02,0.98
"878",0.06,0.94
"892",0.02,0.98
"894",0.02,0.98
"896",0.36,0.64
"898",0.04,0.96
"902",0.02,0.98
"905",0.16,0.84
"908",0.04,0.96
"914",0.08,0.92
"915",0.02,0.98
"917",0,1
"922",0.28,0.72
"934",0.02,0.98
"939",0.48,0.52
"949",0.02,0.98
"953",0.16,0.84
"960",0.02,0.98
"965",0.64,0.36
"979",0.06,0.94
"981",0.02,0.98
"989",0,1
"994",0,1
"998",0.26,0.74
"1003",0.14,0.86
"1006",0.4,0.6
"1008",0.18,0.82
"1009",0.1,0.9
"1012",0,1
"1016",0.08,0.92
"1017",0.02,0.98
"1023",0.14,0.86
"1028",0.06,0.94
"1031",0.08,0.92
"1034",0.26,0.74
"1035",0.08,0.92
"1038",0.04,0.96
"1039",0.16,0.84
"1041",0.36,0.64
"1044",0.04,0.96
"1047",0.04,0.96
"1048",0.04,0.96
"1049",0.08,0.92
"1050",0.04,0.96
"1051",0.02,0.98
"1054",0.62,0.38
"1058",0.02,0.98
"1061",0,1
"1065",0.04,0.96
"1066",0,1
"1072",0,1
"1077",0,1
"1080",0.5,0.5
"1081",0.1,0.9
"1085",0.18,0.82
"1086",0.06,0.94
"1098",0.02,0.98
"1099",0.1,0.9
"1100",0.06,0.94
"1104",0.06,0.94
"1106",0.22,0.78
"1107",0,1
"1109",0.04,0.96
"1116",0.02,0.98
"1127",0.06,0.94
"1128",0.14,0.86
"1129",0.04,0.96
"1130",0.38,0.62
"1131",0.26,0.74
"1134",0.12,0.88
"1147",0.14,0.86
"1148",0.04,0.96
"1152",0.06,0.94
"1154",0.02,0.98
"1156",0.08,0.92
"1166",0.02,0.98
"1174",0.26,0.74
"1177",0.3,0.7
"1178",0.74,0.26
"1180",0.04,0.96
"1181",0,1
"1182",0.18,0.82
"1189",0.04,0.96
"1193",0,1
"1194",0.04,0.96
"1199",0.06,0.94
"1203",0.02,0.98
"1205",0.62,0.38
"1209",0.06,0.94
"1212",0.02,0.98
"1214",0.12,0.88
"1216",0.82,0.18
"1220",0.02,0.98
"1224",0.04,0.96
"1229",0.12,0.88
"1238",0,1
"1240",0,1
"1242",0,1
"1243",0.18,0.82
"1248",0.18,0.82
"1256",0.02,0.98
"1260",0.12,0.88
"1261",0.02,0.98
"1266",0,1
"1270",0.12,0.88
"1273",0.02,0.98
"1276",0.06,0.94
"1277",0.16,0.84
"1282",0.14,0.86
"1283",0.02,0.98
"1286",0.16,0.84
"1287",0.02,0.98
"1291",0.06,0.94
"1293",0.54,0.46
"1294",0.2,0.8
"1298",0.02,0.98
"1299",0.84,0.16
"1302",0.58,0.42
"1304",0.14,0.86
"1306",0.12,0.88
"1311",0.02,0.98
"1312",0.02,0.98
"1314",0.7,0.3
"1316",0.22,0.78
"1325",0.18,0.82
"1328",0.12,0.88
"1329",0.1,0.9
"1330",0.06,0.94
"1331",0.02,0.98
"1333",0.38,0.62
"1335",0.02,0.98
"1338",0.08,0.92
"1341",0.54,0.46
"1344",0,1
"1346",0.16,0.84
"1347",0.14,0.86
"1348",0,1
"1355",0.66,0.34
"1358",0,1
"1359",0.24,0.76
"1363",0.12,0.88
"1368",0.68,0.32
"1369",0.12,0.88
"1371",0.06,0.94
"1373",0.02,0.98
"1376",0.1,0.9
"1380",0.04,0.96
"1381",0,1
"1383",0,1
"1385",0.42,0.58
"1386",0,1
"1394",0.1,0.9
"1397",0,1
"1402",0.16,0.84
"1414",0.06,0.94
"1415",0.58,0.42
"1416",0.1,0.9
"1419",0.02,0.98
"1425",0,1
"1426",0,1
"1429",0.02,0.98
"1432",0,1
"1438",0.4,0.6
"1439",0.84,0.16
"1440",0.06,0.94
"1445",0.04,0.96
"1448",0.84,0.16
"1452",0.28,0.72
"1456",0,1
"1458",0,1
"1464",0.06,0.94
"1465",0.12,0.88
"1472",0.12,0.88
"1493",0.36,0.64
"1494",0.04,0.96
"1496",0,1
"1497",0.02,0.98
"1499",0,1
"1500",0.54,0.46
"1501",0.48,0.52
"1507",0.1,0.9
"1509",0,1
"1510",0.08,0.92
"1512",0.44,0.56
"1513",0.04,0.96
"1517",0.02,0.98
"1521",0.08,0.92
"1523",0,1
"1529",0.08,0.92
"1530",0.12,0.88
"1533",0.02,0.98
"1534",0.1,0.9
"1537",0.56,0.44
"1545",0,1
"1550",0.02,0.98
"1553",0.06,0.94
"1554",0.1,0.9
"1561",0,1
"1562",0.94,0.06
"1564",0,1
"1567",0.06,0.94
"1568",0.16,0.84
"1569",0.18,0.82
"1572",0,1
"1573",0.14,0.86
"1576",0.14,0.86
"1578",0.02,0.98
"1581",0.02,0.98
"1587",0.02,0.98
"1591",0.04,0.96
"1592",0,1
"1594",0.1,0.9
"1596",0.12,0.88
"1599",0.02,0.98
"1601",0,1
"1602",0.02,0.98
"1604",0.3,0.7
"1617",0.2,0.8
"1622",0.02,0.98
"1626",0.02,0.98
"1627",0,1
"1628",0.14,0.86
"1637",0.02,0.98
"1639",0.18,0.82
"1640",0.94,0.06
"1642",0.04,0.96
"1644",0.02,0.98
"1647",0.3,0.7
"1650",0.42,0.58
"1654",0.1,0.9
"1656",0.02,0.98
"1659",0.16,0.84
"1668",0.14,0.86
"1671",0.14,0.86
"1682",0.04,0.96
"1683",0.14,0.86
"1685",0.1,0.9
"1689",0,1
"1694",0.04,0.96
"1697",0,1
"1698",0.02,0.98
"1700",0.06,0.94
"1701",0.56,0.44
"1702",0.04,0.96
"1706",0.14,0.86
"1716",0.1,0.9
"1718",0,1
"1719",0,1
"1723",0.08,0.92
"1725",0.08,0.92
"1726",0.08,0.92
"1728",0.02,0.98
"1730",0.48,0.52
"1731",0,1
"1736",0,1
"1737",0.04,0.96
"1738",0,1
"1743",0.06,0.94
"1744",0.14,0.86
"1746",0.04,0.96
"1747",0.04,0.96
"1751",0.02,0.98
"1755",0,1
"1759",0.06,0.94
"1763",0,1
"1765",0.04,0.96
"1767",0.56,0.44
"1774",0,1
"1777",0.02,0.98
"1779",0,1
"1780",0.02,0.98
"1784",0.08,0.92
"1785",0,1
"1787",0.04,0.96
"1789",0.16,0.84
"1797",0.4,0.6
"1804",0,1
"1807",0.3,0.7
"1816",0,1
"1820",0,1
"1822",0,1
"1823",0.28,0.72
"1824",0.06,0.94
"1826",0.92,0.08
"1828",0.32,0.68
"1830",0.1,0.9
"1831",0.14,0.86
"1832",0.04,0.96
"1834",0,1
"1835",0.38,0.62
"1836",0.02,0.98
"1839",0,1
"1847",0.16,0.84
"1848",0,1
"1858",0.1,0.9
"1859",0.08,0.92
"1868",0.1,0.9
"1872",0,1
"1875",0.04,0.96
"1877",0.1,0.9
"1887",0.16,0.84
"1891",0.64,0.36
"1895",0.02,0.98
"1898",0,1
"1901",0.08,0.92
"1902",0.04,0.96
"1904",0.04,0.96
"1905",0.18,0.82
"1911",0,1
"1913",0.02,0.98
"1914",0.06,0.94
"1918",0.02,0.98
"1921",0.42,0.58
"1922",0.02,0.98
"1926",0.12,0.88
"1936",0.1,0.9
"1939",0,1
"1940",0,1
"1942",0.06,0.94
"1947",0.02,0.98
"1953",0.08,0.92
"1954",0.06,0.94
"1958",0,1
"1973",0.16,0.84
"1979",0.02,0.98
"1983",0.02,0.98
"1984",0,1
"1986",0.22,0.78
"1987",0.06,0.94
"1989",0.12,0.88
"1991",0,1
"1995",0,1
"1996",0.02,0.98
"1997",0,1
"2002",0.02,0.98
"2006",0,1
"2007",0,1
"2012",0.02,0.98
"2015",0,1
"2018",0.02,0.98
"2022",0,1
"2029",0.02,0.98
"2039",0.06,0.94
"2040",0.04,0.96
"2043",0.22,0.78
"2047",0,1
"2049",0.16,0.84
"2054",0.06,0.94
"2055",0.1,0.9
"2056",0.04,0.96
"2057",0.02,0.98
"2058",0,1
"2059",0,1
"2063",0,1
"2064",0.5,0.5
"2071",0.18,0.82
"2073",0,1
"2076",0.12,0.88
"2081",0,1
"2083",0.22,0.78
"2085",0.48,0.52
"2086",0.04,0.96
"2087",0,1
"2093",0.5,0.5
"2094",0,1
"2099",0,1
"2103",0.7,0.3
"2106",0.96,0.04
"2107",0.16,0.84
"2109",0.02,0.98
"2110",0.54,0.46
"2112",0,1
"2116",0.44,0.56
"2119",0.02,0.98
"2121",0.08,0.92
"2122",0.3,0.7
"2123",0.22,0.78
"2130",0,1
"2131",0.86,0.14
"2136",0.08,0.92
"2137",0,1
"2138",0,1
"2140",0,1
"2143",0.18,0.82
"2145",0.14,0.86
"2151",0,1
"2160",0.08,0.92
"2161",0.9,0.1
"2165",0.04,0.96
"2166",0,1
"2170",0.06,0.94
"2171",0,1
"2173",0.06,0.94
"2177",0.12,0.88
"2183",0,1
"2197",0,1
"2200",0.1,0.9
"2208",0.16,0.84
"2213",0,1
"2214",0.02,0.98
"2224",0.4,0.6
"2227",0,1
"2234",0,1
"2235",0.08,0.92
"2239",0.1,0.9
"2241",0,1
"2242",0.1,0.9
"2243",0.14,0.86
"2244",0.54,0.46
"2246",0.04,0.96
"2247",0,1
"2249",0.34,0.66
"2250",0.04,0.96
"2251",0,1
"2252",0,1
"2255",0.04,0.96
"2257",0,1
"2259",0.02,0.98
"2261",0.4,0.6
"2267",0.5,0.5
"2268",0.8,0.2
"2273",0.04,0.96
"2276",0,1
"2279",0.02,0.98
"2284",0.02,0.98
"2285",0,1
"2290",0.02,0.98
"2291",0,1
"2296",0.24,0.76
"2298",0,1
"2301",0,1
"2302",0.02,0.98
"2304",0.98,0.02
"2305",0.06,0.94
"2306",0.08,0.92
"2311",0.22,0.78
"2314",0,1
"2317",0.14,0.86
