"","Attrited Customer","Existing Customer"
"2",0.12,0.88
"8",0.3,0.7
"18",0.04,0.96
"21",0.36,0.64
"22",0.02,0.98
"24",0.88,0.12
"25",0.1,0.9
"28",0.06,0.94
"29",0.1,0.9
"32",0.78,0.22
"36",0,1
"40",0.78,0.22
"41",0.08,0.92
"46",0.4,0.6
"49",0.3,0.7
"53",0.26,0.74
"57",0.2,0.8
"63",0.1,0.9
"64",0.84,0.16
"66",0.18,0.82
"67",0.18,0.82
"80",0.12,0.88
"88",0.72,0.28
"94",0.2,0.8
"108",0.72,0.28
"112",0.26,0.74
"114",0.62,0.38
"116",0.08,0.92
"119",0.32,0.68
"124",0.22,0.78
"125",0.16,0.84
"127",0.64,0.36
"139",0.12,0.88
"144",0.24,0.76
"151",0.2,0.8
"154",0.6,0.4
"155",0.66,0.34
"156",0.04,0.96
"158",0.3,0.7
"170",0.46,0.54
"171",0.2,0.8
"174",0.06,0.94
"178",0.96,0.04
"181",0.92,0.08
"182",0.98,0.02
"183",0.06,0.94
"184",0.78,0.22
"187",0.48,0.52
"200",0.28,0.72
"202",0.66,0.34
"205",0.64,0.36
"206",0.82,0.18
"208",0.22,0.78
"209",0.24,0.76
"213",0.62,0.38
"218",0.12,0.88
"221",0.1,0.9
"224",0.04,0.96
"229",0.34,0.66
"233",0.24,0.76
"236",0.86,0.14
"246",0.24,0.76
"255",0.22,0.78
"258",0.38,0.62
"270",0.46,0.54
"273",0.1,0.9
"274",0.4,0.6
"275",0.58,0.42
"277",0.38,0.62
"281",0.06,0.94
"284",0.52,0.48
"285",0.28,0.72
"287",0.2,0.8
"289",0.16,0.84
"290",0.06,0.94
"291",0.22,0.78
"293",0.1,0.9
"295",0.08,0.92
"298",0.22,0.78
"299",0.04,0.96
"300",0.34,0.66
"301",0,1
"302",0.14,0.86
"303",0.08,0.92
"305",0.02,0.98
"310",0.2,0.8
"313",0.94,0.06
"316",0.18,0.82
"321",0.92,0.08
"329",0.9,0.1
"335",0.14,0.86
"338",0.14,0.86
"339",0.94,0.06
"340",0.92,0.08
"342",0.74,0.26
"344",1,0
"345",0.78,0.22
"346",1,0
"353",0.14,0.86
"354",0.02,0.98
"355",0.86,0.14
"367",0.34,0.66
"368",0.02,0.98
"372",0.12,0.88
"379",0.06,0.94
"380",0.18,0.82
"381",0.06,0.94
"382",0.1,0.9
"384",0.3,0.7
"388",0.1,0.9
"389",0.08,0.92
"400",0.3,0.7
"401",0.5,0.5
"404",0.36,0.64
"414",0.28,0.72
"416",0.3,0.7
"420",0.1,0.9
"421",0.16,0.84
"422",0.08,0.92
"423",0.46,0.54
"425",0.18,0.82
"428",0.32,0.68
"434",0.26,0.74
"436",0.98,0.02
"439",0.02,0.98
"445",0.48,0.52
"446",0.38,0.62
"452",0.92,0.08
"458",0.04,0.96
